숫자|기수|서수|서수(단위용)|다이얼(공)|다이얼(영)
8191|팔천 백 구십 일|팔천 백 아흔 하나|팔천 백 아흔 한|팔일구일|팔일구일
8192|팔천 백 구십 이|팔천 백 아흔 둘|팔천 백 아흔 두|팔일구이|팔일구이
8193|팔천 백 구십 삼|팔천 백 아흔 셋|팔천 백 아흔 세|팔일구삼|팔일구삼
8194|팔천 백 구십 사|팔천 백 아흔 넷|팔천 백 아흔 네|팔일구사|팔일구사
8195|팔천 백 구십 오|팔천 백 아흔 다섯|팔천 백 아흔 다섯|팔일구오|팔일구오
8196|팔천 백 구십 육|팔천 백 아흔 여섯|팔천 백 아흔 여섯|팔일구육|팔일구육
8197|팔천 백 구십 칠|팔천 백 아흔 일곱|팔천 백 아흔 일곱|팔일구칠|팔일구칠
8198|팔천 백 구십 팔|팔천 백 아흔 여덟|팔천 백 아흔 여덟|팔일구팔|팔일구팔
8199|팔천 백 구십 구|팔천 백 아흔 아홉|팔천 백 아흔 아홉|팔일구구|팔일구구
8200|팔천 이백|팔천 이백|팔천 이백|팔이공공|팔이영영
8201|팔천 이백 일|팔천 이백 하나|팔천 이백 한|팔이공일|팔이영일
